"variable","variable_comp","t-test_literal","p_t-test_literal","correlation_literal","p_correlation_literal","t-test_sentimental","p_t-test_sentimental","correlation_sentimental","p_correlation_sentimental"
"concreteness","valence","-3.82250581457041","0.000157485084882956","-0.119887930714465","0.0941822211105803","-23.3262948037531","1.1644124513229e-76","-0.00196836223025623","0.977216883134392"
"concreteness","arousal","44.0566464465247","3.47288285679103e-142","-0.450149959213917","3.60200866201666e-11","11.0042895669334","1.71976270540988e-24","-0.410406359026192","4.63087705089795e-10"
"concreteness","imageability","-4.42995427656821","1.2284319838777e-05","0.88121974782963","4.8148848550854e-65","-8.51661961459125","2.9348881836898e-16","0.883643490245075","1.7608317220094e-71"
"concreteness","token_length_mean","-15.1541478260544","7.2968833624339e-39","0.208109436487279","0.00342236025810523","-24.0039249554255","2.01232734391605e-74","0.0700553949890725","0.308839895140939"
"concreteness","token_length_median","-6.97395538629337","2.83736190492678e-11","0.166572459530992","0.0196259006887228","-14.3800038118141","9.27988419368835e-36","0.095302677172489","0.165787046258523"
"concreteness","token_length_std","24.7950724382627","1.00159137312906e-76","-0.175159627677286","0.0140663828257952","15.3393273202285","2.68276718577865e-41","0.0141167874400044","0.837708403645676"
"concreteness","sentence_length_mean","-10.9139078684554","4.16657274507057e-22","-0.151353474139033","0.0342081226960775","-13.9628398590842","3.05682594105802e-32","0.00653618818689373","0.924448105895437"
"concreteness","sentence_length_median","-10.7237930408111","1.56093968722162e-21","-0.154542559892706","0.0305591065048443","-13.8953171255332","5.08011482429476e-32","0.00680663124265573","0.921331927503178"
"concreteness","sentence_length_std","41.7017988110558","4.3559754728665e-116","-0.113730491730284","0.112468126457221","28.7082382100263","4.71993625499132e-85","-0.0140726821382162","0.838208484938622"
"concreteness","syllables_per_token_mean","65.9421751281976","1.43144711485421e-193","0.189043923401485","0.00796246386262106","42.5853506625197","1.729882541884e-147","0.0122685492132519","0.858717754925942"
"concreteness","syllables_per_token_median","57.8202761910803","2.47582070671441e-193","0.0727168167704431","0.311124503400105","40.4776224895636","9.45854829246019e-148","0.0811073289581713","0.238517689978309"
"concreteness","syllables_per_token_std","86.9664407275551","8.02761953935562e-233","-0.126112304722034","0.078184601496018","64.2198259134494","1.52376172412284e-199","-0.179135018032706","0.00878693923741419"
"concreteness","n_tokens","0.466796279684327","0.640864257499077","-0.293236492724545","3.03111413978187e-05","-3.66355548042996","0.00027727365784126","-0.00171113962353603","0.980193493564621"
"concreteness","n_unique_tokens","1.40824985422502","0.159722281215114","-0.316609686700931","6.15378024584607e-06","-3.34824489465873","0.000878955993165239","0.000127653878115154","0.998522251623829"
"concreteness","proportion_unique_tokens","109.17510036574","2.21555496143165e-179","0.0550918926260155","0.443119703489679","78.8111198104095","9.07560307500715e-160","0.0193640707844666","0.778731372005537"
"concreteness","n_characters","-14.0960009996781","1.19094458970287e-37","-0.273725414052544","0.000103580312484311","-15.3748163787731","3.35966818047445e-43","0.0109549600673443","0.873711160709948"
"concreteness","n_sentences","79.3444709426882","6.02214109004672e-312","-0.102694420843918","0.152053586617497","60.9501250904667","1.03689335084148e-250","-0.0137483976815295","0.841887314975056"
"concreteness","flesch_reading_ease","-1.48436909092783","0.139324532530823","-0.173992662681414","0.0147300492134242","-5.72957174099327","3.40489852627021e-08","-0.0132018380924198","0.848095457450922"
"concreteness","flesch_kincaid_grade","-28.890074545282","1.03145762172576e-73","0.138512759249609","0.0528532558179976","-23.3645779220754","2.02294623521806e-61","0.0144447201203344","0.833992242606431"
"concreteness","gunning_fog","-30.1095513595741","5.76266635559175e-76","0.180345678401882","0.0114236676628839","-24.8993803796556","1.82664397647609e-65","0.0697909007184113","0.3106745159694"
"concreteness","automated_readability_index","-27.2390835577992","2.50657331364034e-69","0.153931321577451","0.0312316031666903","-24.4064419351783","2.20721194267867e-64","0.0726638880389095","0.291128027874875"
"concreteness","coleman_liau_index","-36.1689879048149","1.65503756080743e-89","0.100829375593871","0.159674167287504","-29.9750982408991","4.50157079541948e-79","0.0444859353324996","0.518441174039692"
"concreteness","lix","-47.4825402620308","2.53085001561995e-109","0.207950160796906","0.0034476494149744","-39.5027097649744","3.77148996868416e-100","0.11605042556082","0.0911338599049892"
"concreteness","rix","11.6036548009591","8.26728234518536e-25","-0.0834216318343012","0.245048683659673","8.15481462742739","1.45836025455941e-14","0.0421291368677391","0.540863320464632"
"concreteness","dependency_distance_mean","48.3151103999915","5.04517914627707e-159","-0.195378268062844","0.00606404249952373","26.1022075039948","1.05212662007876e-85","-0.0749145434623639","0.276401669959343"
"concreteness","dependency_distance_std","115.017304536886","4.42475618311992e-244","-0.0899098794865605","0.210123192188149","86.1610621156214","3.96474909639958e-222","0.0128532565311361","0.85205976774663"
"concreteness","prop_adjacent_dependency_relation_mean","119.189642910864","1.06416681835285e-192","0.194856384478899","0.00620355109540101","90.2825908927844","5.661330506039e-178","0.181766263488796","0.00782866995660951"
"concreteness","prop_adjacent_dependency_relation_std","131.82911842168","2.72508298253292e-195","-0.0869874961377733","0.225384266186668","100.74354320834","4.21096862198721e-183","-0.0202468900520681","0.768922248101246"
"concreteness","spelling_errors","90.8828848968861","4.29773204955593e-301","-0.0890430504467361","0.214570353616083","63.100990852055","7.97172125503643e-254","-0.0316920134859848","0.645571106951225"
"concreteness","valence","-3.82250581457041","0.000157485084882956","-0.119887930714465","0.0941822211105803","-23.3262948037531","1.1644124513229e-76","-0.00196836223025623","0.977216883134392"
