_id	text	concreteness	valence	arousal	imageability	token_length_mean	token_length_median	token_length_std	sentence_length_mean	sentence_length_median	sentence_length_std	syllables_per_token_mean	syllables_per_token_median	syllables_per_token_std	n_tokens	n_unique_tokens	proportion_unique_tokens	n_characters	n_sentences	flesch_reading_ease	flesch_kincaid_grade	gunning_fog	automated_readability_index	coleman_liau_index	lix	rix	dependency_distance_mean	dependency_distance_std	prop_adjacent_dependency_relation_mean	prop_adjacent_dependency_relation_std	pos_prop_ADJ	pos_prop_NOUN	pos_prop_DET	pos_prop_CCONJ	pos_prop_PUNCT	pos_prop_ADV	pos_prop_ADP	pos_prop_VERB	pos_prop_PART	pos_prop_AUX	pos_prop_X	pos_prop_PRON	pos_prop_PROPN	pos_prop_NUM	pos_prop_SCONJ	pos_prop_SPACE
2a9ddca5eb578d86031f1ab0e2c978b5	Sammlerstück: Teller auf Holzgestell mit rotem Rand und typisch aussehenden Buchstaben auf der Schnittfläche des Tellers. Sicher antik.	5.550785714285715	5.291785714285714	3.191642857142857	5.763928571428572	6.388888888888889	5.5	3.4179085367271163	9.0	9.0	7.0	1.9444444444444444	2.0	0.9111788592698181	18	17	0.9444444444444444	118	2	33.20000000000002	10.864444444444448	14.711111111111112	13.161666666666669	18.477777777777778	47.88888888888889	3.5	1.611111111111111	0.9444444444444444	0.6111111111111112	0.055555555555555525	0.09523809523809523	0.3333333333333333	0.09523809523809523	0.047619047619047616	0.14285714285714285	0.09523809523809523	0.14285714285714285						0.047619047619047616			
2af3986a3cb68c9e4142aaf404f4a13f	Einfacher heller Schrank. Könnte für Badeutensilien oder als Beistellschrank für Besteck und Tischwäsche genutzt werden.	4.413333333333333	6.135333333333332	3.625444444444445	4.860333333333333	6.933333333333334	6.0	3.732142667274241	7.5	7.5	4.5	2.066666666666667	2.0	1.2892719737209146	15	14	0.9333333333333333	106	2	24.382499999999993	11.721666666666671	13.66666666666667	14.975999999999999	21.021333333333335	54.166666666666664	3.5	1.8076923076923077	0.8076923076923077	0.5961538461538461	0.09615384615384615	0.11764705882352941	0.23529411764705882		0.11764705882352941	0.11764705882352941		0.17647058823529413	0.058823529411764705		0.11764705882352941			0.058823529411764705			
2c2c5c01dcde22606e7ff09a4bc6cba2															0	0		0	0																											
2c6aae1a3f471ba2e93bd1f4ba0ae2a5	Ein billiges Bett aus alten, verschenkten Paletten, dass in einem Studenten-Zimmer steht und wenig Schlafkomfort bietet.	4.3122	5.575200000000001	3.8713	5.0205	6.375	5.0	3.9191038516477206	16.0	16.0	0.0	2.125	2.0	1.4947825928876748	16	16	1.0	105	1	10.820000000000022	15.725000000000005	18.900000000000002	16.596250000000005	19.834999999999997	47.25	5.0	3.3157894736842106	0.0	0.3684210526315789	0.0	0.15789473684210525	0.21052631578947367	0.15789473684210525	0.05263157894736842	0.15789473684210525		0.10526315789473684	0.10526315789473684							0.05263157894736842	
2cb0a372f4b9eabe070855bca0b4fa3e	Küchentisch im Sand-Stil in üblichem Längen-/Breitenverhältnis. Vermutlich aus der mit-kentern Ära stammendes, zeitloses Möbelstück.	4.468624999999999	5.651750000000001	3.2548749999999997	4.672375000000001	8.285714285714286	9.0	5.774680837545068	7.0	7.0	1.0	3.0714285714285716	3.0	2.344119868774563	14	14	1.0	119	2	-60.11285714285714	23.382857142857144	28.51428571428572	21.095714285714287	28.691428571428577	71.28571428571429	4.5	2.0	0.0	0.4642857142857143	0.035714285714285726	0.11764705882352941	0.29411764705882354	0.058823529411764705		0.17647058823529413	0.058823529411764705	0.17647058823529413					0.058823529411764705	0.058823529411764705			
2e46d27aa659e57c83174a53a2340822	Einfache, gemütliche Schlafmöglichkeit für romantische Stunden.	3.9061999999999997	5.934800000000001	3.6168	4.6076	9.333333333333334	9.0	4.268749491621899	6.0	6.0	0.0	3.0	3.5	1.1547005383792515	6	6	1.0	58	1	-53.05499999999998	22.15000000000001	29.066666666666663	25.53	34.146666666666675	89.33333333333334	5.0	1.75	0.0	0.375	0.0	0.25	0.375			0.25		0.125									
2f90f56090b736bf056f394ea0610439	Wirkt einfach und zweckmäßig. Freundlich durch die helle Farbe.	4.4325	6.125	3.7227500000000004	5.168500000000001	5.888888888888889	5.0	2.469567863432541	4.5	4.5	0.5	1.7777777777777777	2.0	0.7856742013183862	9	9	1.0	55	2	51.867500000000035	7.142777777777777	10.68888888888889	8.556666666666668	12.248888888888889	37.83333333333333	1.5	1.6166666666666667	0.21666666666666667	0.4666666666666667	0.13333333333333333	0.09090909090909091	0.18181818181818182	0.09090909090909091	0.09090909090909091	0.18181818181818182	0.2727272727272727	0.09090909090909091									
2f90f56090b736bf056f394ea07886f1	Wirkt modern und altmodisch zugleich. Durch die helle Farbe wird ein altbekanntes Denkobjekt neu.	3.5038750000000003	6.120374999999999	4.0675	4.3565000000000005	5.857142857142857	5.0	2.8749445424997297	7.0	7.0	2.0	1.8571428571428572	1.5	0.989743318610787	14	14	1.0	84	2	42.61571428571432	9.054285714285715	14.228571428571428	9.657142857142855	14.41142857142857	35.57142857142857	2.0	2.25	0.25	0.35	0.15	0.125	0.1875	0.125	0.0625	0.125	0.25	0.0625			0.0625						
2f90f56090b736bf056f394ea07dc892															0	0		0	0																											
31ec458060b2b2b94547b5122497476a	Einfache günstige Bank, Praktikabilität und einfache Handhabung überwiegt. Nicht regenfest oder dafür gemacht unter freiem Himmel zu stehen.	3.9721	5.5531	3.8509000000000007	4.786099999999999	6.666666666666667	6.0	2.943920288775949	9.0	9.0	1.0	2.2222222222222223	2.0	1.1811273125260722	18	17	0.9444444444444444	123	2	9.700000000000017	14.142222222222227	16.933333333333334	14.470000000000006	20.11111111111111	53.44444444444444	4.0	1.85	0.15000000000000002	0.5227272727272727	0.022727272727272707	0.19047619047619047	0.19047619047619047		0.09523809523809523	0.14285714285714285	0.09523809523809523	0.047619047619047616	0.14285714285714285	0.09523809523809523							
