"cat1","cat2","precision_mean_cat1","precision_mean_cat2","recall_mean_cat1","recall_mean_cat2","f1_mean_cat1","f1_mean_cat2","precision_t","precision_p(t)","recall_t","recall_p(t)","f1_t","f1_p(t)"
"decoration","couch",0.418,0.579,0.639,0.84,0.48,0.681,-1.989,"ns",-3.624,"**",-2.813,"*"
"stool","couch",0.444,0.579,0.643,0.84,0.501,0.681,-1.675,"ns",-4.025,"***",-2.633,"*"
"bench","chest",0.462,0.632,0.807,0.807,0.576,0.7,-2.945,"**",0.006,"ns",-2.593,"*"
"electronics","cabinet",0.402,0.568,0.857,0.825,0.534,0.662,-3.062,"**",0.673,"ns",-2.578,"*"
"electronics","shelf",0.402,0.568,0.857,0.826,0.534,0.663,-2.961,"**",0.692,"ns",-2.524,"*"
"tableware","wardrobe",0.358,0.551,0.703,0.789,0.469,0.624,-2.585,"*",-2.151,"*",-2.493,"*"
"decoration","cabinet",0.418,0.568,0.639,0.825,0.48,0.662,-1.766,"ns",-3.17,"**",-2.468,"*"
"decoration","shelf",0.418,0.568,0.639,0.826,0.48,0.663,-1.745,"ns",-3.316,"**",-2.449,"*"
"tableware","bench",0.358,0.462,0.703,0.807,0.469,0.576,-2.18,"*",-2.96,"**",-2.358,"*"
"bench","couch",0.462,0.579,0.807,0.84,0.576,0.681,-2.256,"*",-1.095,"ns",-2.277,"*"
"stool","cabinet",0.444,0.568,0.643,0.825,0.501,0.662,-1.466,"ns",-3.466,"**",-2.276,"*"
"bed","chest",0.468,0.632,0.859,0.807,0.596,0.7,-3.088,"**",1.415,"ns",-2.262,"*"
"stool","shelf",0.444,0.568,0.643,0.826,0.501,0.663,-1.448,"ns",-3.664,"**",-2.258,"*"
"chair","bed",0.368,0.468,0.817,0.859,0.489,0.596,-1.942,"ns",-1.099,"ns",-2.16,"*"
"bed","chair",0.468,0.368,0.859,0.817,0.596,0.489,1.942,"ns",1.099,"ns",2.16,"*"
"shelf","stool",0.568,0.444,0.826,0.643,0.663,0.501,1.448,"ns",3.664,"**",2.258,"*"
"chest","bed",0.632,0.468,0.807,0.859,0.7,0.596,3.088,"**",-1.415,"ns",2.262,"*"
"cabinet","stool",0.568,0.444,0.825,0.643,0.662,0.501,1.466,"ns",3.466,"**",2.276,"*"
"couch","bench",0.579,0.462,0.84,0.807,0.681,0.576,2.256,"*",1.095,"ns",2.277,"*"
"bench","tableware",0.462,0.358,0.807,0.703,0.576,0.469,2.18,"*",2.96,"**",2.358,"*"
"shelf","decoration",0.568,0.418,0.826,0.639,0.663,0.48,1.745,"ns",3.316,"**",2.449,"*"
"cabinet","decoration",0.568,0.418,0.825,0.639,0.662,0.48,1.766,"ns",3.17,"**",2.468,"*"
"wardrobe","tableware",0.551,0.358,0.789,0.703,0.624,0.469,2.585,"*",2.151,"*",2.493,"*"
"shelf","electronics",0.568,0.402,0.826,0.857,0.663,0.534,2.961,"**",-0.692,"ns",2.524,"*"
"cabinet","electronics",0.568,0.402,0.825,0.857,0.662,0.534,3.062,"**",-0.673,"ns",2.578,"*"
"chest","bench",0.632,0.462,0.807,0.807,0.7,0.576,2.945,"**",-0.006,"ns",2.593,"*"
"couch","stool",0.579,0.444,0.84,0.643,0.681,0.501,1.675,"ns",4.025,"***",2.633,"*"
"couch","decoration",0.579,0.418,0.84,0.639,0.681,0.48,1.989,"ns",3.624,"**",2.813,"*"
"chair","cabinet",0.368,0.568,0.817,0.825,0.489,0.662,-3.588,"**",-0.203,"ns",-3.599,"**"
"chair","shelf",0.368,0.568,0.817,0.826,0.489,0.663,-3.475,"**",-0.257,"ns",-3.51,"**"
"electronics","chest",0.402,0.632,0.857,0.807,0.534,0.7,-4.236,"***",1.1,"ns",-3.464,"**"
"desk","cabinet",0.385,0.568,0.829,0.825,0.517,0.662,-3.673,"**",0.107,"ns",-3.387,"**"
"dining table","bed",0.321,0.468,0.685,0.859,0.429,0.596,-2.997,"**",-3.808,"***",-3.336,"**"
"desk","shelf",0.385,0.568,0.829,0.826,0.517,0.663,-3.528,"**",0.086,"ns",-3.282,"**"
"electronics","couch",0.402,0.579,0.857,0.84,0.534,0.681,-3.691,"***",0.375,"ns",-3.179,"**"
"decoration","chest",0.418,0.632,0.639,0.807,0.48,0.7,-2.523,"*",-2.931,"**",-3.031,"**"
"dining table","wardrobe",0.321,0.551,0.685,0.789,0.429,0.624,-2.927,"**",-2.211,"*",-2.915,"**"
"tableware","bed",0.358,0.468,0.703,0.859,0.469,0.596,-2.578,"*",-4.069,"***",-2.914,"**"
"stool","chest",0.444,0.632,0.643,0.807,0.501,0.7,-2.224,"*",-3.219,"**",-2.861,"**"
"dining table","bench",0.321,0.462,0.685,0.807,0.429,0.576,-2.632,"*",-2.836,"**",-2.846,"**"
"bench","dining table",0.462,0.321,0.807,0.685,0.576,0.429,2.632,"*",2.836,"**",2.846,"**"
"chest","stool",0.632,0.444,0.807,0.643,0.7,0.501,2.224,"*",3.219,"**",2.861,"**"
"bed","tableware",0.468,0.358,0.859,0.703,0.596,0.469,2.578,"*",4.069,"***",2.914,"**"
"wardrobe","dining table",0.551,0.321,0.789,0.685,0.624,0.429,2.927,"**",2.211,"*",2.915,"**"
"chest","decoration",0.632,0.418,0.807,0.639,0.7,0.48,2.523,"*",2.931,"**",3.031,"**"
"couch","electronics",0.579,0.402,0.84,0.857,0.681,0.534,3.691,"***",-0.375,"ns",3.179,"**"
"shelf","desk",0.568,0.385,0.826,0.829,0.663,0.517,3.528,"**",-0.086,"ns",3.282,"**"
"bed","dining table",0.468,0.321,0.859,0.685,0.596,0.429,2.997,"**",3.808,"***",3.336,"**"
"cabinet","desk",0.568,0.385,0.825,0.829,0.662,0.517,3.673,"**",-0.107,"ns",3.387,"**"
